objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,source,type,format,language,rights
coll002,,LHY_dh_6VBU,,The SECRET to PERFECTLY PACED Comics!,"
PainterDraws",2025-02-10,Tutorial video about how to create comics with better pacing.,Video; Drawing; Tutorial; Comics; Writing,"Youtube, comic resources playlist",video/mp4,video,english,Copyright
coll003,,4e0cchNRrfs,,How to start making Manga in 2025 (Full Guide),Manga School,2025-02-17,A video tutorial on how to make a Manga.,Video; Drawing; Tutorial; Manga; Writing,"Youtube, comic resources playlist",video/mp4,video,english,Copyright
coll004,,5Ry2ihuQ6Fc,,"You can draw faces from low angles now, because I just made it easy for you.",Javi can draw!,2024-08-05,A video tutorial on how draw faces from low angles.,Video; Drawing; Tutorial; perspective; low angle,"Youtube, comic resources playlist",,video,english,Copyright
coll005,,wJtXoZxEQ0g,,"How I draw Manga Faces - (Front, 3/4, Side View)",plushelisa,2025-02-19,A video tutorial on how to draw manga faces from different views.,Video; Drawing; Tutorial; perspective; Manga,"Youtube, comic resources playlist",,video,english,Copyright
coll006,,RUA9fpG4aH4,,Screentone YOUR Manga like Pro Mangaka in CLIP STUDIO PAINT,Whyt Manga,2022-08-09,A video tutorial on how to use screentone in Clip Studio Paint.,Video; Drawing; Tutorial; Screentone; Manga; Clip Studio Paint,"Youtube, comic resources playlist",,video,english,Copyright
coll007,,ynudKumMNTk,,Can’t Draw Dynamic Action Poses for Your Manga? Learn Basic Foreshortening & Perspective!,Learn to Draw Manga,2024-08-25,A video tutorial on how to draw in perspective in manga.,Video; Drawing; Tutorial; perspective; Manga; Foreshortening,"Youtube, comic resources playlist",,video,english,Copyright
coll008,,XyNa7mRe1_k,,Desk Tour + Art Supplies (As a Comic Artist),JGV Illustrations,2025-05-05,A video on art supplies used as a comic artist. ,Video; Drawing; Tutorial; Screentone; comic artist; art supplies,"Youtube, comic resources playlist",,video,english, Copyright
coll009,,,,,,2025-02-23,,,"Youtube, comic resources playlist",,video,eng,Public domain
coll010,,,,,,2025-02-24,,,"Youtube, comic resources playlist",,video,eng,Public domain
coll011,,,,,,2025-02-25,,,"Youtube, comic resources playlist",,video,eng,Public domain
coll012,,,,,,2025-02-26,,,"Youtube, comic resources playlist",,video,eng,Public domain
coll013,,,,,,2025-02-27,,,"Youtube, comic resources playlist",,video,eng,Public domain
,,,,,,2025-02-28,,,,,,,
,,,,,,2025-03-01,,,,,,,
,,,,,,2025-03-02,,,,,,,
